Author,Comment,Likes,Timestamp
@ykumarnaidu3420,Hi anna nenu 8th class chaduvutuna Naku jee mains exam ku chadavali annivundi aite koni tips chappu,0,2025-02-23T14:54:13Z
@D4861-c5k,"Anna, Jee 2026 ki Preparation start cheyyalani anukuntunna, 1 year road map or  stategy Ok video cheyyava please, And Start chese mundu free foundation course or books unte cheppara please",0,2025-02-23T15:52:44Z
@GanlaAnuroopkumar,Hii anna <br>Happy diwali ❤ anna,1,2024-10-31T03:39:17Z
@funny__hub__2667,Anna nenu inter chesa emina job unthey cheppu anna inka emina best course ayina chepu anna nerchukutha,0,2025-02-15T09:42:46Z
@BhagyaKalla,@harshaversetelugu I love you❤,0,2024-10-26T16:08:51Z
